date,nav_historical,nav_api,difference
2018-08-03,57.7594,57.7594,0.0
2018-08-06,58.7914,58.7914,0.0
2018-08-07,58.9834,58.9834,0.0
2018-08-08,59.0029,59.0029,0.0
2018-08-09,58.7543,58.7543,0.0
2018-08-10,58.6551,58.6551,0.0
2018-08-13,58.2451,58.2451,0.0
2018-08-14,58.0781,58.0781,0.0
2018-08-16,58.388,58.388,0.0
2018-08-17,58.7555,58.7555,0.0
2018-08-20,58.7597,58.7597,0.0
2018-08-21,58.8857,58.8857,0.0
2018-08-23,59.031,59.031,0.0
2018-08-24,58.8617,58.8617,0.0
2018-08-27,59.3442,59.3442,0.0
2018-08-28,59.5545,59.5545,0.0
2018-08-29,59.4907,59.4907,0.0
2018-08-30,59.5719,59.5719,0.0
2018-08-31,60.1287,60.1287,0.0
2018-09-03,59.8974,59.8974,0.0
2018-09-04,58.889,58.889,0.0
2018-09-05,58.6949,58.6949,0.0
2018-09-06,59.2383,59.2383,0.0
2018-09-07,59.3814,59.3814,0.0
2018-09-10,58.943,58.943,0.0
2018-09-11,58.317,58.317,0.0
2018-09-12,58.2059,58.2059,0.0
2018-09-14,58.7983,58.7983,0.0
2018-09-17,58.5504,58.5504,0.0
2018-09-18,58.0036,58.0036,0.0
2018-09-19,57.5821,57.5821,0.0
2018-09-21,56.4467,56.4467,0.0
2018-09-24,55.2821,55.2821,0.0
2018-09-25,54.8274,54.8274,0.0
2018-09-26,55.1202,55.1202,0.0
2018-09-27,54.4466,54.4466,0.0
2018-09-28,53.3171,53.3171,0.0
2018-10-01,52.883,52.883,0.0
2018-10-03,52.9192,52.9192,0.0
2018-10-04,51.9575,51.9575,0.0
2018-10-05,51.0967,51.0967,0.0
2018-10-08,50.3191,50.3191,0.0
2018-10-09,49.9984,49.9984,0.0
2018-10-10,51.6901,51.6901,0.0
2018-10-11,51.0028,51.0028,0.0
2018-10-12,51.7944,51.7944,0.0
2018-10-15,52.1697,52.1697,0.0
2018-10-16,52.7174,52.7174,0.0
2018-10-17,51.9801,51.9801,0.0
2018-10-19,51.425,51.425,0.0
2018-10-22,50.7772,50.7772,0.0
2018-10-23,50.1667,50.1667,0.0
2018-10-24,50.3952,50.3952,0.0
2018-10-25,50.251,50.251,0.0
2018-10-26,50.3325,50.3325,0.0
2018-10-29,50.9297,50.9297,0.0
2018-10-30,51.4475,51.4475,0.0
2018-10-31,51.8851,51.8851,0.0
2018-11-01,52.0587,52.0587,0.0
2018-11-02,52.5668,52.5668,0.0
2018-11-05,52.4327,52.4327,0.0
2018-11-06,52.3747,52.3747,0.0
2018-11-09,53.0344,53.0344,0.0
2018-11-12,52.6627,52.6627,0.0
2018-11-13,52.6014,52.6014,0.0
2018-11-14,52.847,52.847,0.0
2018-11-15,52.6406,52.6406,0.0
2018-11-16,52.5647,52.5647,0.0
2018-11-19,53.029,53.029,0.0
2018-11-20,52.7118,52.7118,0.0
2018-11-21,52.6805,52.6805,0.0
2018-11-22,52.5867,52.5867,0.0
2018-11-26,52.3692,52.3692,0.0
2018-11-27,52.3787,52.3787,0.0
2018-11-28,52.4448,52.4448,0.0
2018-11-29,52.4969,52.4969,0.0
2018-11-30,52.7422,52.7422,0.0
2018-12-03,52.7747,52.7747,0.0
2018-12-04,52.9458,52.9458,0.0
2018-12-05,52.5267,52.5267,0.0
2018-12-06,51.9051,51.9051,0.0
2018-12-07,52.0078,52.0078,0.0
2018-12-10,51.301,51.301,0.0
2018-12-11,51.6933,51.6933,0.0
2018-12-12,52.6722,52.6722,0.0
2018-12-13,53.0474,53.0474,0.0
2018-12-14,53.0898,53.0898,0.0
2018-12-17,53.2949,53.2949,0.0
2018-12-18,53.4937,53.4937,0.0
2018-12-19,54.0589,54.0589,0.0
2018-12-20,54.1591,54.1591,0.0
2018-12-21,53.5026,53.5026,0.0
2018-12-24,52.8045,52.8045,0.0
2018-12-26,52.817,52.817,0.0
2018-12-27,53.0365,53.0365,0.0
2018-12-28,53.5178,53.5178,0.0
2018-12-31,53.8265,53.8265,0.0
2019-01-01,53.818,53.818,0.0
2019-01-02,53.7148,53.7148,0.0
2019-01-03,53.5067,53.5067,0.0
2019-01-04,53.3289,53.3289,0.0
2019-01-07,53.4187,53.4187,0.0
2019-01-08,53.2516,53.2516,0.0
2019-01-09,53.2998,53.2998,0.0
2019-01-10,53.2423,53.2423,0.0
2019-01-11,53.1862,53.1862,0.0
2019-01-14,53.1547,53.1547,0.0
2019-01-15,53.2756,53.2756,0.0
2019-01-16,53.2055,53.2055,0.0
2019-01-17,53.1674,53.1674,0.0
2019-01-18,53.071,53.071,0.0
2019-01-21,52.858,52.858,0.0
2019-01-22,52.5351,52.5351,0.0
2019-01-23,52.2713,52.2713,0.0
2019-01-24,52.2905,52.2905,0.0
2019-01-25,51.8002,51.8002,0.0
2019-01-28,51.0862,51.0862,0.0
2019-01-29,51.0547,51.0547,0.0
2019-01-30,51.0055,51.0055,0.0
2019-01-31,51.3507,51.3507,0.0
2019-02-01,51.2972,51.2972,0.0
2019-02-04,51.0358,51.0358,0.0
2019-02-05,50.7151,50.7151,0.0
2019-02-06,50.5395,50.5395,0.0
2019-02-07,50.8924,50.8924,0.0
2019-02-08,50.5532,50.5532,0.0
2019-02-11,50.1417,50.1417,0.0
2019-02-12,49.9865,49.9865,0.0
2019-02-13,49.9159,49.9159,0.0
2019-02-14,50.0246,50.0246,0.0
2019-02-15,49.8363,49.8363,0.0
2019-02-18,49.7231,49.7231,0.0
2019-02-19,50.1932,50.1932,0.0
2019-02-20,50.5134,50.5134,0.0
2019-02-21,50.8863,50.8863,0.0
2019-02-22,51.1164,51.1164,0.0
2019-02-25,51.1544,51.1544,0.0
2019-02-26,50.9392,50.9392,0.0
2019-02-27,50.6695,50.6695,0.0
2019-02-28,50.7717,50.7717,0.0
2019-03-01,51.4418,51.4418,0.0
2019-03-05,52.7007,52.7007,0.0
2019-03-06,53.2436,53.2436,0.0
2019-03-07,53.7052,53.7052,0.0
2019-03-08,53.9401,53.9401,0.0
2019-03-11,54.7406,54.7406,0.0
2019-03-12,55.2773,55.2773,0.0
2019-03-13,55.1959,55.1959,0.0
2019-03-14,55.0181,55.0181,0.0
2019-03-15,54.8323,54.8323,0.0
2019-03-18,54.8356,54.8356,0.0
2019-03-19,55.1238,55.1238,0.0
2019-03-20,54.7637,54.7637,0.0
2019-03-22,54.6498,54.6498,0.0
2019-03-25,54.0256,54.0256,0.0
2019-03-26,54.4065,54.4065,0.0
2019-03-27,54.46,54.46,0.0
2019-03-28,54.7581,54.7581,0.0
2019-03-29,55.663,55.663,0.0
